Front,,Back,
Time (us),Temp (K),Time (us),Temp (K)
0.099781407,2163.049373,0.099781407,2450.938506
0.37119473,2162.453131,0.37119473,2451.919122
0.642608054,2162.645317,0.642608054,2451.886043
0.914021377,2161.936442,0.914021377,2451.852963
1.111412885,2174.054187,1.1854347,2451.819884
1.239717365,2203.030202,1.456848023,2449.083621
1.321141362,2228.790636,1.617228623,2451.767259
1.358152269,2254.804275,1.99967467,2461.294425
1.417369722,2289.735715,2.271087993,2475.790962
1.541444384,2447.820674,2.443805562,2484.705438
1.461782811,2330.615965,3.159349778,2514.878877
1.511130688,2369.513279,3.430763101,2520.477432
1.530869839,2406.762256,3.702176424,2524.273864
1.611941351,2497.326214,3.973589747,2526.15554
1.654239531,2540.348352,4.245003071,2528.14985
1.703587408,2575.652683,4.516416394,2528.229403
1.76280486,2612.318667,4.787829717,2528.196324
1.900978916,2649.628297,5.05924304,2528.050613
2.098370423,2630.862162,5.330656363,2525.990145
2.221740116,2599.377555,5.602069687,2525.506536
2.345109808,2570.370866,5.87348301,2523.446068
2.48081647,2543.757996,6.144896333,2522.17403
2.628860101,2523.916601,6.416309656,2520.226195
2.863262516,2495.88004,6.687722979,2517.715197
3.134675839,2476.248874,6.959136302,2515.542097
3.406089162,2456.279811,7.230549626,2513.143732
3.677502486,2440.027625,7.452615072,2510.880104
3.948915809,2425.915461,,
4.220329132,2411.127501,,
4.491742455,2399.26799,,
4.763155778,2388.985337,,
5.034569102,2377.23846,,
5.305982425,2365.041051,,
5.577395748,2353.068908,,
5.848809071,2340.533601,,
6.120222394,2326.083539,,
6.391635718,2318.729336,,
6.663049041,2304.729804,,
6.934462364,2294.672416,,
7.205875687,2281.348681,,
7.440278103,2273.112006,,
