time,temp
3.57E-07,2155.554616
4.99E-07,2153.367894
6.42E-07,2153.109739
7.85E-07,2158.202562
9.27E-07,2159.247517
1.07E-06,2166.924626
1.21E-06,2180.780113
1.36E-06,2218.622058
1.50E-06,2342.071614
1.64E-06,2524.226158
1.78E-06,2631.990738
1.93E-06,2664.706282
2.07E-06,2650.035659
2.21E-06,2612.861639
2.35E-06,2579.231706
2.50E-06,2553.158546
2.64E-06,2533.85014
2.78E-06,2518.823984
2.92E-06,2500.130839
3.07E-06,2488.8262
3.21E-06,2477.697558
3.35E-06,2464.987479
3.49E-06,2457.585787
3.64E-06,2445.376281
3.78E-06,2438.674806
3.92E-06,2430.132706
4.07E-06,2421.920179
4.21E-06,2413.575257
4.35E-06,2408.843341
4.49E-06,2400.390444
4.64E-06,2396.858221
4.78E-06,2388.166734
4.92E-06,2386.992404
5.06E-06,2375.844728
5.21E-06,2373.161241
5.35E-06,2365.336841
5.49E-06,2358.305238
5.63E-06,2353.127269
5.78E-06,2349.926509
5.92E-06,2339.280739
6.06E-06,2329.93957
6.21E-06,2329.811008
6.35E-06,2326.644004
6.49E-06,2320.130096
6.63E-06,2310.489156
6.78E-06,2306.091506
6.92E-06,2302.007555
7.06E-06,2294.496098
7.20E-06,2285.219749
7.35E-06,2280.450685
7.49E-06,2275.141794
