time,pside,oside
2.027027027027027e-07,300.0,300.00000000000006
4.054054054054054e-07,299.2521084023997,299.9963002590569
6.081081081081081e-07,297.6162994966062,299.9787851434293
8.108108108108108e-07,302.8402526097839,299.96974187438946
1.0135135135135136e-06,308.3379767743909,300.0144483615279
1.2162162162162162e-06,326.2113284031698,300.21644009323313
1.4189189189189188e-06,418.2570432839352,301.064043510317
1.6216216216216216e-06,644.6417268416894,303.88080725181464
1.8243243243243245e-06,785.8928577290062,309.80148824510286
2.0270270270270273e-06,798.7342249715066,318.6992462369442
2.2297297297297296e-06,752.8985360884762,329.33403515603874
2.4324324324324325e-06,709.2819359674709,340.2312359684062
2.6351351351351353e-06,678.8145925437502,350.3215424776069
2.8378378378378377e-06,655.9019521679111,359.07187053441146
3.0405405405405405e-06,635.3612946190979,366.3347262753279
3.2432432432432433e-06,619.14177352753,372.1812614219109
3.445945945945946e-06,604.5688374726546,376.7772694977798
3.648648648648649e-06,589.2979188366439,380.30077082071233
3.851351351351351e-06,578.8562453604995,382.9316846859073
4.0540540540540545e-06,567.0210651976981,384.82837550775054
4.256756756756757e-06,556.4062911579713,386.1221187317722
4.459459459459459e-06,546.845971265378,386.9226740451426
4.6621621621621625e-06,539.7114048758199,387.3308438297619
4.864864864864865e-06,531.9025731853844,387.43039105130276
5.067567567567567e-06,520.2224356887546,387.26431054069013
5.2702702702702705e-06,514.1151417224992,386.87416766196304
5.472972972972973e-06,503.6840791051827,386.286605320493
5.675675675675675e-06,496.6501054355017,385.5288908408049
5.8783783783783786e-06,486.82130910004753,384.6175764177414
6.081081081081081e-06,474.3682079716373,383.5455521584779
6.283783783783784e-06,472.5105036953287,382.34760730243437
6.4864864864864866e-06,464.7560115338506,381.0622505923613
6.689189189189189e-06,453.2051001168047,379.6902413323062
6.891891891891892e-06,447.2113246954309,378.2355185548105
7.0945945945945946e-06,436.7588188839609,376.6942665142399
7.297297297297298e-06,426.5351071845357,375.0551133555853
7.5e-06,419.5871780000002,373.32374922394126
